,Date,NumberOfSubjects,Fatal,SubjectArmed,Notes,SubjectRace,SubjectGender,SubjectAge,NatureOfStop,NumberOfShots,NumberOfOfficers,OfficerRace,OfficerGender,Department,FullNarrative,city,state
1051,11/9/2015,1,N,N,,L,M,,Disturbance,>3,3,B;H;H,M;M;M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2015/OIS_2015_260896-2015.pdf,Dallas,TX
1052,9/21/2015,1,F,Y,,L,M,24,hit-and-run,23,2,W;W,M;M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2015/OIS_2015_219229-2015.pdf,Dallas,TX
1053,9/30/2015,1,N,Y,NO HITS,B,M,,Suicide; weapons posession,1,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2015/OIS_2015_226926-2015.pdf,Dallas,TX
1054,6/12/2015,1,N,N,NO HITS,L,M,15,Robbery,1,1,H,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2015/OIS_2015_133475-2015.pdf,Dallas,TX
1055,7/3/2016,1,N,Y,NO HITS,B,M,,shooting,3,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2016/OIS_2016_161616.pdf,Dallas,TX
1056,3/26/2016,1,N,Y,NO HITS,B,M,,Domestic disturbance,2,1,H,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2016/OIS_2016_072458-2016.pdf,Dallas,TX
1057,4/16/2016,1,N,Y,NO HITS,L,M,,Robbery of officer,>1,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2016/OIS_2016_089985.pdf,Dallas,TX
1058,7/7/2016,1,F,Y,Age: http://www.cnn.com/2016/07/08/us/philando-castile-alton-sterling-protests/index.html,B,M,25,shooting; police shooting,>1,12,W;B;W;H;W;A;W;W;W;W;W;B,M;M;M;M;M;M;M;M;M;M;M;M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2016/OIS_2016_165193-2016.pdf,Dallas,TX
1059,12/7/2016,1,N,Y,,A,M,,Vehicle pursuit,2,1,W,M,Dallas Police Department,http://www.dallaspolice.net/reports/OIS/narrative/2016/OIS_2016_291025-2016.pdf,Dallas,TX
1060,7/23/2016,1,N,Y,NO HITS,B,M,,Robbery,1,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2016/OIS_2016_177645-2016.pdf,Dallas,TX
1061,8/25/2016,1,F,Y,Narrative still pending,L,M,,,,1,W,M,Dallas Police Department,,Dallas,TX
1062,9/20/2016,1,N,Y,,B,M,,Disturbance,1,1,B,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2016/OIS_2016_226497-2016.pdf,Dallas,TX
1063,6/10/2016,1,N,N,Rock,B,M,,Domestic disturbance,9,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2016/OIS_2016_140172.pdf,Dallas,TX
1064,10/14/2016,1,F,Y,,L,M,,Property crime,10,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2016/OIS_2016_247294-2016.pdf,Dallas,TX
1065,10/19/2016,1,F,N,BB Gun,L,M,,Stolen car,4,1,H,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2016/OIS_2016_251177-2016.pdf,Dallas,TX
1066,10/26/2016,1,N,Y,,B,M,,Robbery,2,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2016/OIS_2016_257303-2016.pdf,Dallas,TX
1067,6/11/2016,1,N,N,NO HITS,B,M,,Stolen car,3,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2016/OIS_2016_141461.pdf,Dallas,TX
1290,4/1/2010,1,N,N,Indicted; vehicle; OFF-DUTY,W,M,20,Other,,1,L,M,El Paso PD,,El Paso,TX
1291,9/16/2010,1,N,Y,,W,M,20,Domestic Disturbance,,2,W;W,M;M,El Paso PD,,El Paso,TX
1292,3/3/2011,1,N,N,NO HITS; 40-hour suspension; vehicle,U,M,38,Traffic stop,,1,L,M,El Paso PD,,El Paso,TX
1293,3/25/2011,1,F,N,knife,W,M,29,Other,,1,W,M,El Paso PD,,El Paso,TX
1294,4/15/2011,1,N,N,vehicle,W,M,29,Other,,1,U,U,El Paso PD,,El Paso,TX
1295,6/25/2011,1,N,Y,,W,M,41,Domestic Disturbance,,1,W,M,El Paso PD,,El Paso,TX
1296,1/31/2012,1,N,N,other weapon; OFF-DUTY,L,M,15,Suspicious activity / patrol,,1,U,M,El Paso PD,,El Paso,TX
1297,6/15/2012,1,F,N,knife,L,M,56,Mental crisis / suicide attempt,,1,W,M,El Paso PD,,El Paso,TX
1298,8/12/2012,1,N,N,knife,W,M,32,Domestic Disturbance,,1,W,M,El Paso PD,,El Paso,TX
1299,3/1/2013,1,F,Y,,W,M,47,Other,,3,W;W;W,M;M;M,El Paso PD,,El Paso,TX
1300,3/8/2013,1,F,N,Fired; no weapon,W,M,37,Other,,1,W,M,El Paso PD,,El Paso,TX
1301,7/29/2013,1,F,N,knife,W,M,38,Other,,1,W,M,El Paso PD,,El Paso,TX
1302,10/20/2014,1,F,Y,,W,M,22,Weapons disturbance,,3,L;W;W,F;M;M,El Paso PD,,El Paso,TX
1303,1/9/2015,1,F,Y,,W,M,33,Traffic stop,,1,W,F,El Paso PD,,El Paso,TX
1304,4/29/2015,1,F,N,other weapon,W,M,22,Burglary / home invasion,,1,W,M,El Paso PD,,El Paso,TX
1305,5/21/2015,1,F,Y,,W,M,22,Mental crisis / suicide attempt,,2,L;W,M;M,El Paso PD,,El Paso,TX
1306,9/21/2015,1,N,N,vehicle,W,M,21,Burglary / home invasion,,1,W,F,El Paso PD,,El Paso,TX
1307,12/11/2015,1,N,N,vehicle; OFF-DUTY,L,M,57,Traffic stop,,1,L,M,El Paso PD,,El Paso,TX
1308,4/17/2016,1,F,N,On Duty; news coverage,W,M,22,Suicide,,5,W;W;A;U;U,M;M;M;U;U,El Paso Police Department,"Officer M. Betchel #2398 and E Pastran 3022, along with officers J. Smith #2848, D. Wesenberg #3086, and Sgt. LeGloahec were dispatched to 7149 Tierra Taos in a reference to a suicide threat. Officers arrived and learned that OF-01 was armed with a weapon and threatened to harm officers. OF-01 suffered injuries and was transported to UMC for treatment.",El Paso,TX
1309,5/9/2016,1,F,N,On Duty; BB gun,B,M,33,Domestic aggrevated assault,1,6,L;W;U;U;U;U,M;M;U;U;U;U,El Paso Police Department,Scan to come,El Paso,TX
1310,11/5/2016,1,N,N,On Duty; knife,L,M,32,Suicide,,3,W;L;U,M;U;U,El Paso Police Department,Scan to come,El Paso,TX
1311,2/4/2010,1,N,N,BB gun; mental illness,,M,25,drug production,,1,,M,,"On Thursday, February 4, 2010, the Department of Public Safety Communications received a 911 call that a man with a history of mental illness was using illegal narcotics, possessed a semi-automatic weapon, and made references regarding a â€œshootout.â€ Based on the manâ€™s history and information provided by the complainant, the Special Weapons and Tactics Team (SWAT) was called out to take lead on the case. Additional entities to include the Crisis Negotiations Team and K9 were called to the scene to assist. Multiple unsuccessful attempts were made to establish contact with the man inside the residence. An Emergency Custody Order was issued by a magistrate, which obligated the Police Department to take physical custody of the individual and transport him to a facility where he could receive mental health treatment. A dialogue was established between the man and a uniformed SWAT officer positioned outside a basement window. The SWAT officer identified himself as an officer and attempted to persuade the man to surrender by exiting the front door. As the SWAT officer continued to negotiate with the man, other uniformed SWAT officers and a K9 officer positioned themselves inside the home but outside of the manâ€™s bedroom. The subject suddenly charged from his location and fired a weapon multiple times at officers. A SWAT officer, who was positioned inside the home, immediately discharged his service weapon striking the subject. A SWAT medical officer and the Operations Medical Director immediately provided aid until relieved by Fire and Rescue personnel. The man was transported to Inova Fairfax Hospital where he was treated for his injuries. The manâ€™s weapon, a BB gun that is powered by a COâ‚‚ cartridge, was recovered at the scene.",FairfaxCounty,TX
1322,1/17/2010,1,N,N,"No Hit, Vehicle",W,M,21,Fight / disorderly conduct,,1,W,M,Fort Worth PD,,Fort Worth,TX
1323,5/17/2010,1,F,N,,W,M,22,Mental crisis / suicide attempt,,2,"W, U","M, U",Fort Worth PD,,Fort Worth,TX
1324,5/27/2010,1,N,N,Vehicle,W,M,55,Drug suspicion / drug warrant,,1,W,M,Fort Worth PD,,Fort Worth,TX
1325,5/31/2010,1,F,N,,B,M,37,Burglary / home invasion,,1,B,M,Fort Worth PD,,Fort Worth,TX
1326,9/28/2010,1,N,Y,No Hit,B,M,39,Robbery,,1,W,M,Fort Worth PD,,Fort Worth,TX
1327,10/1/2010,1,N,Y,,B,M,17,Robbery,,1,U,U,Fort Worth PD,,Fort Worth,TX
1328,10/10/2010,1,N,U,No Hit,W,M,22,Unknown,,1,W,M,Fort Worth PD,,Fort Worth,TX
1329,10/20/2010,1,N,N,"Weapon listed as ""other""",B,M,35,Suspicious activity / patrol,,1,W,M,Fort Worth PD,,Fort Worth,TX
1330,2/28/2011,1,F,N,Vehicle,B,M,32,Traffic stop,,1,W,M,Fort Worth PD,,Fort Worth,TX
1331,4/19/2011,1,N,Y,No Hit,L,M,28,Shots fired / shooting,,1,H,M,Fort Worth PD,,Fort Worth,TX
1332,5/23/2011,1,N,N,Vehicle,L,M,17,Burglary / home invasion,,1,B,M,Fort Worth PD,,Fort Worth,TX
1333,5/23/2011,1,F,N,"Weapon listed as ""other""",W,F,46,Mental crisis / suicide attempt,,1,U,U,Fort Worth PD,,Fort Worth,TX
1334,7/12/2011,1,F,Y,,W,M,70,Other,,3,"W, B, W","M, M, M",Fort Worth PD,,Fort Worth,TX
1335,8/23/2011,1,F,Y,,W,M,47,Robbery,,1,U,U,Fort Worth PD,,Fort Worth,TX
1336,12/14/2011,1,N,N,"Weapon listed as ""other""",B,M,20,Robbery,,3,"H, B, W","M, M, M",Fort Worth PD,,Fort Worth,TX
1337,12/25/2011,1,F,Y,,B,M,29,Mental crisis / suicide attempt,,2,"W, B","F, M",Fort Worth PD,,Fort Worth,TX
1338,6/26/2012,1,F,Y,,U,M,34,Shots fired / shooting,,1,W,M,Fort Worth PD,,Fort Worth,TX
1339,10/28/2012,1,N,Y,,W,M,53,Domestic Disturbance,,1,W,M,Fort Worth PD,,Fort Worth,TX
1340,1/29/2013,1,F,Y,,W,M,U,Drug suspicion / drug warrant,,1,U,U,Fort Worth PD,,Fort Worth,TX
1341,1/31/2013,1,N,Y,,B,M,22,Mental crisis / suicide attempt,,1,W,M,Fort Worth PD,,Fort Worth,TX
1342,2/9/2013,1,F,N,"Weapon listed as ""other""",W,M,21,Shots fired / shooting,,1,W,M,Fort Worth PD,,Fort Worth,TX
1343,4/24/2013,1,F,Y,,B,M,29,Robbery,,1,W,M,Fort Worth PD,,Fort Worth,TX
1344,5/28/2013,1,F,Y,,W,M,72,Burglary / home invasion,,1,W,M,Fort Worth PD,,Fort Worth,TX
1345,11/23/2013,1,F,N,Vehicle,W,M,24,Other,,1,W,M,Fort Worth PD,,Fort Worth,TX
1346,3/6/2014,1,N,N,"Weapon listed as ""other""",B,M,18,Burglary / home invasion,,1,W,M,Fort Worth PD,,Fort Worth,TX
1347,6/13/2014,1,F,Y,,L,M,17,Burglary / home invasion,,1,W,M,Fort Worth PD,,Fort Worth,TX
1348,7/29/2014,1,N,Y,,W,M,18,Other,,1,W,M,Fort Worth PD,,Fort Worth,TX
1349,10/18/2014,1,N,Y,,B,M,46,Weapons disturbance,,1,W,M,Fort Worth PD,,Fort Worth,TX
1350,12/2/2014,1,F,N,"Weapon listed as ""other""",W,M,35,Robbery,,1,H,M,Fort Worth PD,,Fort Worth,TX
1351,1/17/2015,1,F,N,Knife,W,M,27,Traffic stop,,1,W,M,Fort Worth PD,,Fort Worth,TX
1352,1/29/2015,1,F,Y,,W,M,40,Other,,2,"W, W","M,M",Fort Worth PD,,Fort Worth,TX
1353,2/18/2015,1,N,Y,,L,M,23,Fight / disorderly conduct,,1,W,M,Fort Worth PD,,Fort Worth,TX
1354,3/8/2015,1,N,N,Vehicle,W,M,29,Burglary / home invasion,,1,W,M,Fort Worth PD,,Fort Worth,TX
1355,4/22/2015,1,F,Y,,B,M,31,Shots fired / shooting,,2,"W, H","M, M",Fort Worth PD,,Fort Worth,TX
1356,6/23/2015,1,N,N,"Weapon listed as ""other""",B,M,54,Weapons disturbance,,1,W,M,Fort Worth PD,,Fort Worth,TX
1357,7/31/2015,1,F,Y,,U,M,30,Fight / disorderly conduct,,1,W,M,Fort Worth PD,,Fort Worth,TX
1358,12/19/2015,1,N,Y,,W,M,34,Shots fired / shooting,,1,W,M,Fort Worth PD,,Fort Worth,TX
1359,2/12/2016,1,F,Y,"""Deadly Weapon""",W,M,53,"Execuition of a warrant ""suspect pulled out a firearm"" https://www.nbcdfw.com/news/local/Shooting-Involving-US-Marshals-in-Fort-Worth-Police-368676191.html",,3,"W,W, H","M,M,M",Fort Worth PD,,Fort Worth,TX
1360,3/15/2016,1,F,Y,"""Deadly Weapon"" Officer wounded http://www.star-telegram.com/news/local/community/fort-worth/article66192852.html",W,M,42,"Emergencey call, traffic stop, execuition of warrant",,2,"W,W","M,M",Fort Worth PD,,Fort Worth,TX
1361,4/17/2016,1,N,Y,"""Deadly Weapon""",L,M,46,"Hostage, barrcade of other emergencey situation. ""appeared to be a rifle"" http://www.star-telegram.com/news/local/community/fort-worth/article72475392.html",,1,W,M,Fort Worth PD,,Fort Worth,TX
1362,5/20/2016,1,N,N,,W,M,35,"Vehicle pursuit, foot pursuit, resisting arrest",,1,W,M,Fort Worth PD,,Fort Worth,TX
1363,10/5/2016,1,N,Y,"""Deadly Weapon"" shots fired at officers, handgun http://www.star-telegram.com/news/local/community/fort-worth/article106315112.html",B,M,29,Execution of a warrant,,1,W,M,Fort Worth PD,,Fort Worth,TX
1364,10/26/2016,1,U,U,"""Deadly Weapon"" Suspect drove over officer's foot http://www.star-telegram.com/news/local/community/fort-worth/article110751507.html",L,M,24,Execution of a warrant,,1,W,M,Fort Worth PD,,Fort Worth,TX
1365,11/9/2016,1,N,Y,"""Deadly Weapon"" suicide by cop http://www.star-telegram.com/news/local/community/fort-worth/article113689179.html",W,M,62,Emergencey call or request for assitance,,3,"H,H,A","M,M,M",Fort Worth PD,,Fort Worth,TX
1366,12/30/2016,1,N,Y,"""Deadly Weapon"" rifle http://www.star-telegram.com/news/local/community/fort-worth/article123951229.html",W,M,25,Emergencey call or request for assitance,,1,W,M,Fort Worth PD,,Fort Worth,TX
1367,7/28/2016,1,N,U,"""Deadly Weapon""",B,M,33,Search for suspect in an aggravated robbery,,1,H,M,Fort Worth PD,,Fort Worth,TX
1387,1/15/2010,1,F,Y,,B,M,69,,,1,W,M,Houston Police Department,Narcotics officers forced entry into a residence during the execution of a serach warrant. Upon entry; the suspect was found armed with a shotgun. The suspect pointed the weapon at the officer and an exchange of gunfire occurred.,Houston,TX
1388,1/18/2010,1,N,Y,No hits; officer off-duty,L,M,23,,,2,L;L,M;M,Houston Police Department,The officers were attempting to disperse a crowd when the suspect retrieved a weapon from his vehicle and confronted another person by pointing the weapon at him. The suspect refused verbal commands to drop the weapon forcing the officers to shoot him before he caused injury to the other individual.,Houston,TX
1389,2/4/2010,1,N,Y,,B,M,29,,,1,L,M,Houston Police Department,Officers were passing location when they saw a robbery in progress. The officers were about to get out of the vehicle when the person being robbed attempted to run. The suspect shot the individual and then attempted to leave the loaction but was confronted by the officer. The suspect pointed his weapon at the officer causing the officer to shoot at him.,Houston,TX
1390,2/24/2010,1,N,N,,B,M,41,,,1,B,M,Houston Police Department,The suspect was pulled over on traffic after driving erratically. The suspect was being beligerent and refused to get out of the vehicle. As the officer attempted to force the suspect from the vehicle; the suspect reached toward his waistband area. The officer belived the suspect was reaching for a weapon so he fired at the suspect.,Houston,TX
1391,3/7/2010,1,N,Y,,L,M,28,,,3,W;W;L,M;M;M,Houston Police Department,The suspect was involved in a series of robberies. The officer located the suspect vehicle and a vehicle pursuit began. The suspect was shooting at the officers as he was being pursued and when he finally stopped he took a position of cover behind his vehicle. The suspect was still armed and confronted the officers causing them to shoot at the suspect.,Houston,TX
1392,3/19/2010,1,F,Y,,B,M,21,,,1,W,M,Houston Police Department,The officers on viewed a robbery in progress. As the suspect was fleeing from the robbery scene he pointed a weapon at the officer. The officer fired his weapon fearing that the suspect was going to shoot him.,Houston,TX
1393,3/27/2010,1,F,Y,,L,M,28,,,2,W;W,M;M,Houston Police Department,Officers were set up on a location where a robbery was to occur. THe suspects arrived at the scene and when confronted the armed suspect pointed his weapon at the officers and moved toward them causing the officers to shoot him.,Houston,TX
1394,4/2/2010,1,N,N,"Armed with ""Physical Force."" Location ""Protected by Law.""",L,M,35,,,1,L,M,Houston Police Department,The officer was attempting to arrest the suspect when the suspect pulled away from the officer. The officer pulled out his weapon as the suspect was moving toward him. The officer and the suspect were involved in a struggle when the officers weapon accidentally discharged.,Houston,TX
1395,4/15/2010,1,N,N,Armed with knife,B,M,30,,,1,L,M,Houston Police Department,The suspect was armed with a knife. He refused to drop the knife when told to do so; instead the suspect appeared to be ready to attack the officer. The officer discharged his weapon at this point.,Houston,TX
1396,4/19/2010,1,F,Y,Officer not on duty.,B,M,18,,,1,L,M,Houston Police Department,Officer was visiting Arlington Texas when the suspect confronted him and threatened him with a firearm causing the officer to shoot him.,Houston,TX
1397,5/16/2010,1,N,Y,,B,M,37,,,1,L,M,Houston Police Department,Suspect fought the officer who pulled him over on traffic. The suspect then ran to his vehicle where he grabbed a pistol and pointed it at the officer causing the officer to have to shoot him.,Houston,TX
1398,5/20/2010,1,N,Y,,B,M,37,,,2,B;B,M;M,Houston Police Department,An undercover operation was being conducted when the armed suspect entered the hotel room where the officers were operating. The suspect pointed his weapon at the officer causing the officers to return fire.,Houston,TX
1399,5/25/2010,1,N,N,"Location ""Protected by Law.""",B,M,21,,,1,W,M,Houston Police Department,The officer saw the suspect breaking into a vehicle. The suspect then fled on foot when he was confronted by the officer. The officer chased the suspect and during the pursuit; the suspect reached into his waitband has he turned to face the officer causing the officer to shoot the suspect.,Houston,TX
1400,7/22/2010,1,N,U,"""Unknown"" if victim was armed; ditto victim's age. Officer not on duty. NO HITS.",L,M,U,,,1,B,M,Houston Police Department,The officer saw an unknown male break into a vehicle. The officer confronted the suspect and saw that the suspect had a black object in his hand. The suspect refused to drop the object and instead began to raise the object as if to point it at the officer causing the officer to discharge his firearm.,Houston,TX
1401,8/9/2010,1,N,N,"Armed with ""Toy Gun."" NO HITS",L,M,40,,,1,L,M,Houston Police Department,A suspicious person suspect was located. He was found to be armed and refused to drop his weapon after being confronted by the officer forcing the officer to shoot at the suspect.,Houston,TX
1402,8/13/2010,1,N,Y,,W,M,44,,,2,W;W,M;F,Houston Police Department,The officers were looking for a possible burglary suspect when an armed male walked out of a building. The suspect did not drop his weapon when ordered to do so causing the officers to shoot at the suspect.,Houston,TX
1403,9/20/2010,1,N,N,"Victim armed with ""Vehicle."", 2 or more officers",B,M,34,,,2,W;U,M;M,Houston Police Department,An aggravated assault suspect attempted to flee the scene of the offense by driving his vehicle at the officer causing the officer to shot at the suspect.,Houston,TX
1404,9/21/2010,1,N,Y,Officer not on duty. NO HITS,B,M,35,,,1,L,M,Houston Police Department,Officer observed masked robbery suspects enter the bank where he was working. The officer saw that the suspects were armed and discharged his weapon. The suspects then fled on foot.,Houston,TX
1405,10/10/2010,1,N,Y,,L,M,21,,,1,A,M,Houston Police Department,The officer arrived at the scene of a shooting call. Witnesses at the scene pointed out a suspect and that suspect refused to stop when the officer attempted to detain him. The suspect was hiding his hands and after turning a corner he turned towards the officer causing the officer to shoot at the suspect.,Houston,TX
1406,10/26/2010,1,N,N,"Location ""Protected by Law."" Officer not on duty.",L,M,20,,,1,L,M,Houston Police Department,The officer was notified that his vehicle was being burglarized so he went out to investigate. He saw the suspect walking from his vehicle and belived him to be armed since he kept a weapon inside the vehicle. The suspect was walking towrd another person making the officer belive that the suspect meant to do harm to taht person so he fired at the suspect.,Houston,TX
1407,10/29/2010,1,N,N,,L,M,25,,,1,B,M,Houston Police Department,The officer saw a speeding vehicle and conducted a traffic stop. The officer belived the suspect to be intoxicated so he had him get out of the vehicle. The suspect then resisted when the officer attempted to handcuff him. THe suspect tried to push the officer into the moving lanes of traffic and over the guard rail of the freeway. The suspect then began to walk toward his vehicle while reaching into his waitband area causing the officer to believe that he was reaching for a weapon so teh officer shot at the suspect.,Houston,TX
1408,11/4/2010,1,N,N,,B,M,21,,,2,H;U,M;U,Houston Police Department,Officer was chasing a suspect on foot when he saw the suspect reaching for something in his waistband. The suspect jumped a fence and as the officer was jumping the fence in pursuit the suspect turned toward the officer while raising his arm making the officer beleive that he was going to shoot at him.,Houston,TX
1409,11/8/2010,1,F,Y,,B,M,26,,,2,W;U,M;U,Houston Police Department,The officers were chasing a suspect when the suspect turned at fired a weapon at them. One of the officers was then able to catch the suspect and was engaged in a physical altercation with him in an attempt to disarm the suspect. The suspect was attempting to get into a position to shoot the officer causing the other officer to shoot the suspect before the suspect could fire his weapon.,Houston,TX
1410,11/17/2010,1,N,Y,,B,M,29,,,1,W,M,Houston Police Department,The officer confronted an armed suspect. The suspect made a threatening move casuing the officer to shoot at at the suspect.,Houston,TX
1411,11/22/2010,1,N,N,,B,M,18,,,1,W,M,Houston Police Department,Officer pursed a robbery suspect into the backyard of an abandoned house. The officer was attempting to apprehend the suspect when the suspect reached toward his waistband casuing the officer to believe that the suspect was reaching for a weapon.,Houston,TX
1412,11/30/2010,1,N,N,,L,M,29,,,2,W;W,M;M,Houston Police Department,An armed domestic violence suspect ran from the scene when the officers arrived. The suspect shot at the officers multiple times as they attempted to contain him within a confined area. The suspect raised his weapon to fire on the officers again when he shot multiple times.,Houston,TX
1413,12/16/2010,1,F,Y,,B,F,20,,,1,A,M,Houston Police Department,The officer located a pair of armde robbery suspects sitting in a vehicle. The suspects fled the vehicle when the officer attempted to contain them. The officer saw that one of the suspects had a pistol and as the suspect ran; she turned and pointed the weapon at the officer causing the officer to shoot the suspect.,Houston,TX
1414,12/29/2010,1,F,Y,,B,M,26,,,2,W;U,M;U,Houston Police Department,Officers stopped the suspect for a violation of a municipal ordinance. The suspect then attempted to get something from his pocket at which time the officers engaged in a physical confrontation with the suspect. The suspect was able to break free and pulled a weapon from his pocket and pointed it at the officer causing the officer to shoot the suspect.,Houston,TX
1415,12/31/2010,1,N,Y,Victim age unknown. NO HITS,L,M,,,,1,W,M,Houston Police Department,The officer saw two masked suspects armed with weapons enter a store so he pulled into the parking lot of the location and set up in a position of cover. Teh officer engaged the suspects as they existed the store in an attempt to detain them. One of the suspects pointed his weapon at the officer causing the officer to shoot at the suspect.,Houston,TX
1416,2/14/2011,1,F,N,Officer off-duty. Victim armed with knife.,W,M,32,,,1,L,M,Houston Police Department,Officer was approached to assist with a disturbance. The officer confronted the suspect who was armed with a knife. The suspect refused to drop the knife forcing the officer to have to shoot him.,Houston,TX
1417,3/16/2011,1,N,Y,Officer off-duty.,B,M,31,,,1,B,M,Houston Police Department,The officer was attempting to gain control of two suspects that were seated in a car. He then saw that one of the suspects was sitting on a pistol. As the officer began to back away from the car he saw the suspect make a move toward the pistol forcing the officer to shot him.,Houston,TX
1418,3/26/2011,1,N,N,Victim is a juvenile.,,,,,,1,W,M,Houston Police Department,The officer pursued a vehicle that was occupied by suspects of a disturbance. The vehicle was wrecked at which time the driver got out of the car and started reaching into his pocket causing the officer to shoot him.,Houston,TX
1419,3/26/2011,1,U,U,"Location ""protected by law."" Officer off-duty.",U,U,U,,,1,W,M,Houston Police Department,An unknown suspect was trying to enter the residence forcing the officer to shoot at the suspect.,Houston,TX
1420,5/16/2011,1,N,Y,Officer off-duty.,L,M,22,,,2 or More,L,M,Houston Police Department,Suspect was discharging a firearm from his vehicle. When he saw the officer approaching his vehicle; he attempted to flee but wrecked into a parked car. The officer then saw the suspect exit the vehicle with gun causing him to shoot the suspect.,Houston,TX
1421,5/18/2011,1,N,Y,Officer off-duty. No hits.,A,M,30,,,2 or More,W,M,Houston Police Department,The officer was attempting to gain control of a group of persons involved in a disturbance when one of the persons drew a weapon and fired into the air. The officer ordered the person to drop the weapon but he turned toward the officer instead causing the officer to shoot at the suspect.,Houston,TX
1422,6/3/2011,1,N,N,"Armed with ""Physical Force."" No hits.",W,M,29,,,1,B,F,Houston Police Department,A suspect that was being arrested became violent and struck the officer in the face. The suspect then charged at the officer forcing the officer to shoot at the suspect.,Houston,TX
1423,6/7/2011,1,U,Y,,B,M,U,,,1,W,M,Houston Police Department,The officer arrived at the scene of a suspicious person call and saw a group of males fitting the description given. The males walked away from the approaching officer and before turning the street corner; one of the males fired a wepoan at the officer strinking the patrol car. The officer attempted to follow the shooter and the shooter once gain fired at the officer. The officer returned fire before the suspect ran from the scene.,Houston,TX
1424,6/15/2011,1,N,N,"Victim armed with a ""Vehicle."" Victim is a juvenile.",U,U,U,,,1,A,F,Houston Police Department,Officers pursued a vehicle that they had just seen ramming a patrol car. During the pursuit the vehicle stopped and began to back up toward the officers. The officers exited the patrol as the suspect vehicle was driving towrd them and fired on the vehicle.,Houston,TX
1425,6/18/2011,1,N,Y,,L,M,60,,,2,L;L,M;M,Houston Police Department,Armed suspect confronted and fired his weapon at officers responding to a shooting in progress call. Officers were forced to shoot the suspect when the suspect raised and pointed his weapon at them.,Houston,TX
1426,6/20/2011,1,N,Y,No hits.,B,M,30,,,2,W;U,M;U,Houston Police Department,Officer was chasing a home invasion suspect on foot when the suspect fired a weapon at the officer forcing the officer to return fire.,Houston,TX
1427,7/11/2011,1,F,N,Victim armed with knife.,L,M,21,,,1,W,M,Houston Police Department,Officer was directing traffic when he heard screms from a nearby gas station. The officer went to see what the commotion was and saw the suspect stabbing a person. The suspect refused to stop stabbing the individual forcing the officer to shoot him.,Houston,TX
1428,7/20/2011,1,N,Y,No hits.,B,M,29,,,1,W,M,Houston Police Department,Officers attempted to stop a vehicle that was reported to have been involved in a robbery but the suspect refused to stop. A pursuit ensued until the suspect wrecked his vehicle at which time he ran from the officers on foot. The suspect pointed a weapon at the pursing officer causing the officer to shoot at the suspect.,Houston,TX
1429,7/23/2011,1,N,Y,No hits.,L,M,23,,,1,W,M,Houston Police Department,Officer pursued a vehicle that was being driven by a suspect who was involved in a shooting in progress call. The suspect lost control of the vehicle and hit a tree at which time the suspect got out of the vehicle with a rifle in his hands. The suspect pointed the weapon at the officer causing the officer to shoot at the suspect.,Houston,TX
1430,7/24/2011,1,U,Y,Officer off-duty.,L,M,36,,,1,L,M,Houston Police Department,A uniformed off duty officer was driving on the freeway when someone shot at him. The officer saw the suspect's vehicle and followed it down a dead-end street. The suspect made a u-turn at which time the officer stopped and got out of his vehicle in an attempt to stop the driver. As the suspect vehicle approached the officer; a passenger in the car started shooting at him again causing the officer to return fire. The vehicle then fled the scene.,Houston,TX
1431,7/28/2011,1,N,N,,B,M,57,,,2,W;U,M;U,Houston Police Department,A narcotics unit was executing a serach warrant when they were attacked by a pit-bull at the location. The officer shot the animal causing injury to the suspect when shotgun pellets ricoched of the ground.,Houston,TX
1432,8/8/2011,1,F,N,Off-duty.,W,M,47,,,1,W,F,Houston Police Department,The suspect was attempting to gain entry into the residence when the officer was forced to shoot him.,Houston,TX
1433,8/10/2011,1,N,N,Victim armed with knife. NO HITS,B,M,47,,,1,B,F,Houston Police Department,The officer confronted a suspect who had just stabbed another person. The suspect fought with the officer and attempted to take the officers taser from its holster - thinking that the taser was the officer's gun. The officer managed to get her weapon out and shoot at the suspect.,Houston,TX
1434,9/6/2011,1,N,Y,,B,M,23,,,1,W,M,Houston Police Department,The officer stopped a vehicle for a traffic violation. When the vehicle stopped one of the passengers jumped out with a shotgun and pointed it at the officer. The officer took cover and watched as the other occupants ran from teh vehicle. The armed suspect refused to drop the weapon causing the officer to have to shoot the suspect.,Houston,TX
